,term_str,n_male,p_male,n_female,p_female,pos_y,diff,rank,gender_word,campaign_word,media_word,people,junk_words,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,pf_adj,pm_adj,class,overall_freq
987,election,655,0.66,154,0.38,NN,0.00027727,3129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.66,campaign,0.56844
1015,endorse,506,0.51,155,0.38,NN,0.000125357,3023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.51,campaign,0.46749
1016,endorsed,540,0.54,88,0.22,VBD,0.000324651,3144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.54,campaign,0.43536
1017,endorsement,643,0.64,142,0.35,JJ,0.00029482,3133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.64,campaign,0.54517
1019,endorses,675,0.68,56,0.14,NNS,0.000538953,3164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.68,campaign,0.50342
1022,enemy,421,0.42,9,0.02,RBR,0.000400073,3155,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.02,0.42,negative,0.2892
1079,excellent,47,0.05,43,0.11,JJ,-5.89E-05,325.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.11,0.05,positive,0.06962
1082,excited,94,0.09,63,0.16,JJ,-6.10E-05,313,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.16,0.09,positive,0.11289
1117,facts,99,0.1,29,0.07,NNS,2.78E-05,2410,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.07,0.1,positive,0.09019
1123,faith,99,0.1,21,0.05,NN,4.75E-05,2725.5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.05,0.1,positive,0.08365
1142,favorite,111,0.11,57,0.14,JJ,-2.92E-05,603,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.14,0.11,positive,0.11981
1145,fear,60,0.06,44,0.11,VBP,-4.83E-05,405,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.11,0.06,negative,0.07635
1154,feeling,83,0.08,63,0.16,JJ,-7.21E-05,268,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.16,0.08,positive,0.10616
1159,female,27,0.03,153,0.38,JJ,-0.000350148,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.03,gender,0.14445
1165,fight,398,0.4,568,1.4,NN,-0.001001239,5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1.1,0.4,negative,0.727
1167,fighting,161,0.16,215,0.53,VBG,-0.00036861,34,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.53,0.16,negative,0.28099
1175,finally,135,0.14,57,0.14,RB,-5.13E-06,1061,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0.14,0.14,positive,0.14
1188,first,865,0.87,329,0.81,JJ,5.64E-05,2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.87,other,0.85038
1231,fox,188,0.19,36,0.09,NN,9.98E-05,2975,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.19,media,0.1573
1245,friend,214,0.21,82,0.2,VBP,1.25E-05,1780,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.2,0.21,positive,0.20673
1254,fuel,25,0.03,301,0.74,NN,-0.000717056,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.03,other,0.26217
1258,fun,73,0.07,68,0.17,JJ,-9.44E-05,189,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.17,0.07,positive,0.1027
1282,gender,13,0.01,101,0.25,NN,-0.000235982,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.01,gender,0.08848
1293,girl,19,0.02,66,0.16,NN,-0.000143669,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.02,gender,0.06578
1294,girls,7,0.01,146,0.36,NNS,-0.000352949,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.01,gender,0.12445
